,Symbol,Price,Gross Profit,EBITDA,trailingPE,enterpriseValue,bookValue,priceToBook,ebitda,priceToSalesTrailing12Months,EV/EBITDA,EV/Gross Profit,PE Percentile,PB Percentile,PS Percentile,EV/EBITDA Percentile,EV/Gross Profit Percentile,RV score,Num_shares_to_buy
26,CVX,153.07000732421875,60391000000.0,45042000000.0,16.839384,292385456128.0,86.274,1.774231,41003999232.0,1.3985264,6.491395944407442,4.841540231623918,0.20259740259740258,0.12467532467532466,0.17922077922077922,0.06493506493506493,0.11688311688311687,0.13766233766233768,65329
27,PHM,128.3800048828125,4719485000.0,3530560000.0,9.481537,27172829184.0,56.308,2.2799604,3788722944.0,1.5202218,7.696464352397354,5.757583546509841,0.033766233766233764,0.23116883116883116,0.20259740259740258,0.09870129870129869,0.15844155844155844,0.14493506493506492,77893
28,HAL,27.68000030517578,4360000000.0,4939000000.0,9.196013,31072694272.0,11.325,2.4441502,5160000000.0,1.0542152,6.291292624417898,7.126764741284403,0.028571428571428567,0.2597402597402597,0.11428571428571427,0.06233766233766233,0.2597402597402597,0.14493506493506492,361271
29,LYB,86.55999755859375,5258000000.0,4638000000.0,12.174401,38279999488.0,39.848,2.1722546,4640000000.0,0.6857154,8.253557457524796,7.280334630658045,0.0909090909090909,0.20779220779220778,0.07532467532467532,0.11168831168831168,0.2727272727272727,0.1516883116883117,115526
30,VZ,41.36000061035156,79087000000.0,40135000000.0,17.904762,348795142144.0,22.882,1.8075343,48734998528.0,1.2970365,8.690547954254392,4.410271500297141,0.23636363636363633,0.13766233766233765,0.161038961038961,0.12467532467532466,0.09870129870129869,0.1516883116883117,241779
31,MRO,27.270000457763672,2679000000.0,4465000000.0,10.652344,20465385472.0,20.047,1.3603033,4281999872.0,2.3144248,4.583512983650616,7.6391883060843595,0.05454545454545454,0.051948051948051945,0.32727272727272727,0.018181818181818177,0.3168831168831169,0.15376623376623377,366703
32,OXY,49.56999969482422,10109000000.0,14239000000.0,12.8419695,72354373632.0,26.245,1.8887407,12232999936.0,1.7091908,5.081422405506005,7.157421469185874,0.10389610389610389,0.15324675324675324,0.23896103896103896,0.031168831168831165,0.2649350649350649,0.15844155844155844,201734
33,DHI,167.63999938964844,9350400000.0,6193200000.0,11.698535,56475148288.0,78.119,2.1459568,6202899968.0,1.4760277,9.11889625524769,6.039864421629021,0.0831168831168831,0.19740259740259739,0.19220779220779216,0.14285714285714285,0.17922077922077922,0.15896103896103891,59651
34,EOG,120.83999633789062,17573000000.0,13329000000.0,9.331274,67365572608.0,51.215,2.359465,13500000256.0,2.8504303,5.054060515267462,3.833470244579753,0.031168831168831165,0.24935064935064932,0.42337662337662335,0.028571428571428567,0.06233766233766233,0.15896103896103894,82754
35,GPC,113.61000061035156,8290672000.0,2157346000.0,14.640464,20721715200.0,33.769,3.3643281,2055010944.0,0.6778684,9.605188597471152,2.4994011583138254,0.15324675324675324,0.40259740259740256,0.07272727272727271,0.15064935064935064,0.018181818181818177,0.1594805194805195,88020
36,MOH,326.75,4334000000.0,1744000000.0,16.611591,12005099520.0,83.684,3.9045696,1814000000.0,0.49781853,6.8836579816513765,2.769981430549146,0.19999999999999996,0.45194805194805193,0.04415584415584415,0.07532467532467532,0.028571428571428567,0.15999999999999998,30604
37,KR,56.56999969482422,33364000000.0,7027000000.0,14.808901,61158359040.0,12.338,4.585022,8067999744.0,0.27248374,8.703338414686211,1.8330643519961636,0.1558441558441558,0.5142857142857142,0.015584415584415583,0.12727272727272726,0.005194805194805194,0.16363636363636364,176772
38,XOM,114.94999694824219,84142000000.0,74273000000.0,14.297263,543420284928.0,51.574,2.228836,70902996992.0,1.4637902,7.316525317787082,6.458371383233106,0.14545454545454542,0.21818181818181817,0.1896103896103896,0.0935064935064935,0.21038961038961038,0.17142857142857143,86994
39,CTRA,22.709999084472656,2736000000.0,3860000000.0,13.763636,17990979584.0,17.661,1.2858841,3448999936.0,3.0469892,4.660875539896373,6.575650432748538,0.13246753246753246,0.04675324675324675,0.43896103896103894,0.020779220779220776,0.21818181818181817,0.17142857142857143,440334
40,SJM,112.91999816894531,3115400000.0,1691500000.0,15.949152,20634091520.0,73.016,1.5465103,1977900032.0,1.4138052,12.198694365947384,6.623255928612698,0.1844155844155844,0.07012987012987013,0.1818181818181818,0.2571428571428571,0.22337662337662337,0.18337662337662336,88558
41,TPR,46.970001220703125,4889500000.0,1365900000.0,13.42,12375367680.0,12.584,3.7325177,1430300032.0,1.6389439,9.060229650779705,2.531008831168831,0.11948051948051948,0.43636363636363634,0.22857142857142854,0.14025974025974025,0.020779220779220776,0.18909090909090906,212901
42,EMN,101.08000183105469,2061000000.0,1810000000.0,13.549598,16393171968.0,48.172,2.0983143,1692000000.0,1.2539048,9.057001087292818,7.953989310043668,0.12207792207792206,0.19220779220779216,0.14805194805194805,0.13766233766233765,0.348051948051948,0.18961038961038956,98931
43,MOS,26.889999389648438,2210600000.0,2475500000.0,35.853333,12822164480.0,36.543,0.73584545,1936600064.0,0.7026666,5.179626128054938,5.800309635393106,0.6987012987012986,0.002597402597402597,0.0779220779220779,0.033766233766233764,0.161038961038961,0.1948051948051948,371885
44,CHTR,366.489990234375,24855000000.0,20738000000.0,11.481516,147561447424.0,76.336,4.801011,21283999744.0,0.95342785,7.115510050342366,5.936891869804868,0.07272727272727271,0.5402597402597402,0.09870129870129869,0.0883116883116883,0.174025974025974,0.19480519480519481,27285
45,TGT,150.83999633789062,29676000000.0,8600000000.0,15.5826435,85153169408.0,31.259,4.82549,9230999552.0,0.6476068,9.901531326511629,2.869428811430112,0.17142857142857143,0.5428571428571428,0.06233766233766233,0.1688311688311688,0.033766233766233764,0.19584415584415582,66295
46,BBY,90.9000015258789,9603000000.0,2596000000.0,15.699482,22031523840.0,14.451,6.290222,2673999872.0,0.4588594,8.486719506933744,2.2942334520462357,0.174025974025974,0.6415584415584416,0.036363636363636355,0.11428571428571427,0.015584415584415583,0.19636363636363635,110010
47,CE,124.80999755859375,2603000000.0,2642000000.0,7.063384,26298261504.0,65.585,1.9030266,1871000064.0,1.2921394,9.953921841029523,10.103058587783327,0.015584415584415583,0.15844155844155844,0.15844155844155844,0.17142857142857143,0.48051948051948046,0.19688311688311685,80121
48,F,10.220000267028809,16160000000.0,11808000000.0,11.613637,172270223360.0,11.15,0.916592,9360000000.0,0.22226427,14.589280433604337,10.660286099009902,0.0779220779220779,0.012987012987012986,0.012987012987012986,0.3792207792207792,0.5116883116883116,0.19896103896103895,978473
49,COP,107.83999633789062,18203000000.0,25783000000.0,12.792407,135626350592.0,43.34,2.4882324,24441999360.0,2.180348,5.260301384323004,7.450769136515959,0.10129870129870129,0.2701298701298701,0.3090909090909091,0.036363636363636355,0.2987012987012987,0.2031168831168831,92729
