,Symbol,1M return,3M return,6M return,1Y return,1M return percentile,3M return percentile,6M return percentile,1Y return percentile,HQM Score,Close Price,Num_shares_to_buy
28,GM,0.12857144219534722,0.36250005449567513,0.629285676138742,0.7503570829119002,0.7594433399602386,0.9204771371769384,0.9701789264413521,0.89662027833002,0.8866799204771372,50.7599983215332,197005
29,PWR,0.17973940182333004,0.23574743787697772,0.5987345586250294,0.9560206162860845,0.8946322067594434,0.7097415506958251,0.9602385685884692,0.9602385685884692,0.8812127236580517,301.6300048828125,33153
30,FIS,0.18993508202528164,0.2814529847839391,0.4299919433096333,0.8220374013736622,0.9165009940357853,0.7972166998011929,0.8767395626242545,0.9224652087475149,0.8782306163021869,89.7300033569336,111445
31,HWM,0.17620744718964665,0.25178886435987713,0.44901612886715614,1.3548746575132107,0.8846918489065607,0.7455268389662028,0.8946322067594434,0.9860834990059643,0.8777335984095428,99.72000122070312,100280
32,IT,0.31007465276740187,0.4025668525898616,0.34463117469041804,0.5999637746285393,0.9781312127236581,0.9483101391650101,0.7932405566600399,0.7912524850894633,0.8777335984095428,502.5,19900
33,PH,0.16927144235281721,0.28987497982834953,0.48292710090587376,0.7207330643999414,0.8767395626242545,0.8250497017892644,0.9244532803180916,0.8846918489065607,0.8777335984095428,634.0700073242188,15771
34,TDG,0.16240911207975728,0.3109832993688333,0.5169856765522935,0.6708958898717559,0.84493041749503,0.8667992047713718,0.9383697813121273,0.848906560636183,0.874751491053678,1302.300048828125,7678
35,ISRG,0.14930121333498403,0.39499379007999313,0.3795755635049669,0.7621460156595847,0.8170974155069582,0.9443339960238569,0.8330019880715706,0.900596421471173,0.8737574552683898,503.8399963378906,19847
36,GE,0.13566431459627792,0.24876451236699837,0.8839978636341119,1.245235693711022,0.779324055666004,0.7355864811133201,0.9940357852882704,0.9840954274353878,0.8732604373757457,171.77999877929688,58213
37,PNC,0.18068048470661457,0.35950997042718624,0.3775780390707564,0.6739819690495079,0.8986083499005965,0.9145129224652088,0.827037773359841,0.8528827037773361,0.8732604373757455,188.27000427246094,53115
38,HBAN,0.16926273053689922,0.362409110035695,0.41017650699108854,0.6448598093819966,0.874751491053678,0.9184890656063619,0.8628230616302187,0.8310139165009942,0.8717693836978132,15.59000015258789,641436
39,EXR,0.2597502744824707,0.4086905543327626,0.29517080673111473,0.6657310758457637,0.9681908548707754,0.9502982107355865,0.7176938369781313,0.8429423459244534,0.8697813121272366,163.3000030517578,61236
40,SMCI,0.08403698019984951,1.0334166703651304,2.121258972617482,0.9324533787562608,0.5049701789264414,1.0,1.0,0.9542743538767396,0.8648111332007953,29.110000610351562,343524
41,DFS,0.12604436522215345,0.3105703192059739,0.5216128313507438,0.786293804587725,0.7415506958250497,0.8628230616302187,0.9423459244532804,0.9065606361829026,0.8633200795228628,148.42999267578125,67371
42,GEN,0.3277210485853217,0.44137104768498014,0.23571859736120726,0.6939267286767208,0.9840954274353878,0.9602385685884692,0.6123260437375746,0.8687872763419483,0.8563618290258449,29.110000610351562,343524
43,LEN,0.15015282111985462,0.35829891805555647,0.3737636361191796,0.694029865080035,0.8190854870775348,0.9125248508946322,0.8210735586481114,0.8707753479125249,0.8558648111332008,170.3000030517578,58719
44,IR,0.15228259995334348,0.30037100222168367,0.4845942295120982,0.6194546970712655,0.827037773359841,0.8469184890656064,0.9264413518886679,0.8051689860834991,0.8513916500994035,96.0,104166
45,BX,0.18596308967368902,0.342480178873269,0.3019525130380123,0.6855937384049335,0.9085487077534792,0.8986083499005965,0.7355864811133201,0.8608349900596421,0.8508946322067594,167.75,59612
46,DHI,0.16806948402818045,0.31070439622034285,0.31930460129957794,0.7605671299447061,0.8707753479125249,0.8648111332007953,0.7634194831013917,0.8986083499005965,0.8494035785288271,169.0,59171
47,BAC,0.154924250442682,0.3178030840238375,0.435984863454425,0.6212121157387811,0.8310139165009942,0.874751491053678,0.878727634194831,0.8091451292246522,0.8484095427435389,41.81999969482422,239120
48,QCOM,0.16376592805540802,0.3164396837499335,0.47263057039029954,0.546397300670802,0.8508946322067595,0.8727634194831014,0.9125248508946322,0.753479125248509,0.8474155069582505,162.77000427246094,61436
49,AVGO,0.08534011112149753,0.4164654454900456,0.5175979938558053,1.073065045388255,0.5168986083499006,0.9562624254473161,0.9403578528827039,0.9741550695825051,0.8469184890656064,169.77000427246094,58903
